"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"WTM","White Mountains Insurance Group Ltd","Common stocks","Mid cap","Financials","$3,601,695,325","0.09%","USA","Analyze"
"SANA","Sana Biotechnology, Inc.","Common stocks","Mid cap","Health Care","$3,592,111,903","0.00%","USA","Analyze"
"OUT","OUTFRONT Media Inc","REITs","Mid cap","Real Estate","$3,577,371,455","0.00%","USA","Analyze"
"BOH","Bank Of Hawaii Corp.","Common stocks","Mid cap","Financials","$3,531,675,747","3.04%","USA","Analyze"
"MCY","Mercury General Corp","Common stocks","Mid cap","Financials","$3,501,648,633","3.93%","USA","Analyze"
"AGIO","Agios Pharmaceuticals Inc","Common stocks","Mid cap","Health Care","$3,492,493,332","0.00%","USA","Analyze"
"APLE","Apple Hospitality REIT, Inc","REITs","Mid cap","Real Estate","$3,477,854,905","0.06%","USA","Analyze"
"MSGS","Madison Square Garden Sports Corp. Class A","Common stocks","Mid cap","Communication Services","$3,458,104,800","0.00%","USA","Analyze"
"SAGE","Sage Therapeutics Inc","Common stocks","Mid cap","Health Care","$3,411,724,250","0.00%","USA","Analyze"
"HAE","Haemonetics Corp","Common stocks","Mid cap","Health Care","$3,362,092,111","0.00%","USA","Analyze"
"MIC","Macquarie Infrastructure Corp","Common stocks","Mid cap","Industrials","$3,347,828,615","28.78%","USA","Analyze"
"H","Hyatt Hotels Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$3,336,890,477","0.00%","USA","Analyze"
"GO","Grocery Outlet Holding Corp.","Common stocks","Mid cap","Consumer Staples","$3,334,447,941","0.00%","USA","Analyze"
"VIRT","Virtu Financial Inc Class A","Common stocks","Mid cap","Financials","$3,317,482,058","3.42%","USA","Analyze"
"ASB","Associated Bancorp","Common stocks","Mid cap","Financials","$3,289,983,970","3.30%","USA","Analyze"
"TTD","Trade Desk Inc Class A","Common stocks","Mid cap","Information Technology","$3,278,105,400","0.00%","USA","Analyze"
"JW.A","John Wiley & Sons Class A","Common stocks","Mid cap","Communication Services","$3,275,248,130","2.30%","USA","Analyze"
"EQC","Equity Commonwealth","REITs","Mid cap","Real Estate","$3,262,628,706","3.74%","USA","Analyze"
"CBT","Cabot Corp","Common stocks","Mid cap","Materials","$3,213,420,593","2.44%","USA","Analyze"
"EAF","Graftech International Ltd.","Common stocks","Mid cap","Industrials","$3,212,522,499","0.33%","USA","Analyze"
"BLI","Berkeley Lights, Inc.","Common stocks","Mid cap","Health Care","$3,209,442,822","0.00%","USA","Analyze"
"NKTR","Nektar Therapeutics","Common stocks","Mid cap","Health Care","$3,148,476,413","0.00%","USA","Analyze"
"SFM","Sprouts Farmers Market Inc","Common stocks","Mid cap","Consumer Staples","$3,116,319,153","0.00%","USA","Analyze"
"OFC","Corporate Office Properties Trust","REITs","Mid cap","Real Estate","$3,104,692,133","3.92%","USA","Analyze"
"SHLS","Shoals Technologies Group, Inc.","Common stocks","Mid cap","Industrials","$3,036,489,007","0.00%","USA","Analyze"
"TWOU","2U Inc","Common stocks","Mid cap","Consumer Discretionary","$3,019,338,952","0.00%","USA","Analyze"
"TRN","Trinity Industries Inc","Common stocks","Mid cap","Industrials","$2,964,090,719","2.92%","USA","Analyze"
"TREE","Lendingtree Inc","Common stocks","Mid cap","Financials","$2,961,529,735","0.00%","USA","Analyze"
"NUS","Nu Skin Enterprises Inc","Common stocks","Mid cap","Consumer Staples","$2,914,465,707","2.57%","USA","Analyze"
"ENR","Energizer Holdings Inc","Common stocks","Mid cap","Consumer Staples","$2,885,104,069","2.82%","USA","Analyze"
"AMWL","American Well Corp","Common stocks","Mid cap","Health Care","$2,866,677,611","0.00%","USA","Analyze"
"SWCH","Switch, Inc. Class A","Common stocks","Mid cap","Information Technology","$2,782,206,783","0.94%","USA","Analyze"
"RKT","Rocket Companies, Inc. Class A","Common stocks","Mid cap","Financials","$2,748,585,796","0.00%","USA","Analyze"
"WWE","World Wrestling Entertainment Inc","Common stocks","Mid cap","Communication Services","$2,712,975,988","0.80%","USA","Analyze"
"THS","Treehouse Foods Inc","Common stocks","Mid cap","Consumer Staples","$2,574,908,381","0.00%","USA","Analyze"
"GHC","Graham Holdings Company Class B","Common stocks","Mid cap","Consumer Discretionary","$2,542,547,322","0.94%","USA","Analyze"
"TDS","Telephone And Data Systems Inc","Common stocks","Mid cap","Communication Services","$2,520,969,220","2.90%","USA","Analyze"
"CPA","Copa Holdings SA Class A","Common stocks","Mid cap","Industrials","$2,421,008,468","0.00%","USA","Analyze"
"BDN","Brandywine Realty Trust","REITs","Mid cap","Real Estate","$2,417,652,827","5.25%","USA","Analyze"
"GBT","Global Blood Therapeutics Inc","Common stocks","Mid cap","Health Care","$2,269,000,479","0.00%","USA","Analyze"
"PGRE","Paramount Group, Inc","REITs","Mid cap","Real Estate","$2,248,622,621","3.26%","USA","Analyze"
"BLUE","Bluebird Bio Inc","Common stocks","Mid cap","Health Care","$2,084,803,709","0.00%","USA","Analyze"
"SNDR","Schneider National Inc Class B","Common stocks","Mid cap","Industrials","$2,066,527,296","1.20%","USA","Analyze"
"ESRT","Empire State Realty Trust, Inc","REITs","Mid cap","Real Estate","$2,054,580,577","0.29%","USA","Analyze"
"ARRY","Array Technologies, Inc.","Common stocks","Mid cap","Industrials","$2,003,972,689","0.00%","USA","Analyze"
"USM","United States Cellular Corp","Common stocks","Small cap","Communication Services","$1,953,894,111","0.00%","USA","Analyze"
"PSFE","Paysafe Limited","Common stocks","Small cap","Unknown","$1,791,247,842","0.00%","USA","Analyze"
"MSGE","Madison Square Garden Entertainment Corp. Class A","Common stocks","Small cap","Communication Services","$1,687,175,864","0.00%","USA","Analyze"
"GOCO","GoHealth, Inc. - Class A","Common stocks","Small cap","Financials","$1,169,910,015","0.00%","USA","Analyze"
"SATS","Echostar Corp Class A","Common stocks","Small cap","Information Technology","$1,145,623,741","0.00%","USA","Analyze"
"AIV","Apartment Investment and Management Company","REITs","Small cap","Real Estate","$1,104,488,564","0.72%","USA","Analyze"
"UWMC","UWM Holdings Corporation Class A","Common stocks","Small cap","Financials","$969,217,127","2.12%","USA","Analyze"
"BPYU","Brookfield Property REIT Inc. - Class A","REITs","Small cap","Real Estate","$726,661,627","5.20%","USA","Analyze"
"ARD","Ardagh Group S.A. Class A","Common stocks","Small cap","Materials","$464,896,820","2.40%","Luxembourg","Analyze"
